year,state,month,number,date
1998,Alagoas,Janeiro,0,1998-01-01
1998,Alagoas,Fevereiro,0,1998-02-01
1998,Alagoas,Mar�o,0,1998-03-01
1998,Alagoas,Abril,0,1998-04-01
1998,Alagoas,Maio,0,1998-05-01
1998,Alagoas,Junho,0,1998-06-01
1998,Alagoas,Julho,0,1998-07-01
1998,Alagoas,Agosto,1,1998-08-01
1998,Alagoas,Setembro,14,1998-09-01
1998,Alagoas,Outubro,20,1998-10-01
1998,Alagoas,Novembro,19,1998-11-01
1998,Alagoas,Dezembro,32,1998-12-01
1998,Bahia,Janeiro,0,1998-01-01
1998,Bahia,Fevereiro,0,1998-02-01
1998,Bahia,Mar�o,0,1998-03-01
1998,Bahia,Abril,0,1998-04-01
1998,Bahia,Maio,0,1998-05-01
1998,Bahia,Junho,55,1998-06-01
1998,Bahia,Julho,219,1998-07-01
1998,Bahia,Agosto,815,1998-08-01
1998,Bahia,Setembro,2718,1998-09-01
1998,Bahia,Outubro,1969,1998-10-01
1998,Bahia,Novembro,49,1998-11-01
1998,Bahia,Dezembro,82,1998-12-01
1998,Ceara,Janeiro,0,1998-01-01
1998,Ceara,Fevereiro,0,1998-02-01
1998,Ceara,Mar�o,0,1998-03-01
1998,Ceara,Abril,0,1998-04-01
1998,Ceara,Maio,0,1998-05-01
1998,Ceara,Junho,1,1998-06-01
1998,Ceara,Julho,76,1998-07-01
1998,Ceara,Agosto,93,1998-08-01
1998,Ceara,Setembro,590,1998-09-01
1998,Ceara,Outubro,1014,1998-10-01
1998,Ceara,Novembro,575,1998-11-01
1998,Ceara,Dezembro,276,1998-12-01
1998,Maranhao,Janeiro,0,1998-01-01
1998,Maranhao,Fevereiro,0,1998-02-01
1998,Maranhao,Mar�o,0,1998-03-01
1998,Maranhao,Abril,0,1998-04-01
1998,Maranhao,Maio,0,1998-05-01
1998,Maranhao,Junho,78,1998-06-01
1998,Maranhao,Julho,274,1998-07-01
1998,Maranhao,Agosto,1176,1998-08-01
1998,Maranhao,Setembro,3935,1998-09-01
1998,Maranhao,Outubro,5137,1998-10-01
1998,Maranhao,Novembro,2237,1998-11-01
1998,Maranhao,Dezembro,1399,1998-12-01
1998,Paraiba,Janeiro,0,1998-01-01
